date,state,flip,cases,deaths
22/06/2020,Apurimac,3,6,0
23/06/2020,Apurimac,3,11,0
24/06/2020,Apurimac,3,5,0
25/06/2020,Apurimac,3,8,0
26/06/2020,Apurimac,3,18,0
27/06/2020,Apurimac,3,11,0
29/06/2020,Apurimac,3,4,0
30/06/2020,Apurimac,3,8,0
1/07/2020,Apurimac,3,6,0
2/07/2020,Apurimac,3,9,0
3/07/2020,Apurimac,3,8,0
4/07/2020,Apurimac,3,5,0
5/07/2020,Apurimac,3,3,0
6/07/2020,Apurimac,3,6,0
7/07/2020,Apurimac,3,11,0
8/07/2020,Apurimac,3,2,0
9/07/2020,Apurimac,3,3,0
10/07/2020,Apurimac,3,14,0
11/07/2020,Apurimac,3,28,0
12/07/2020,Apurimac,3,1,0
13/07/2020,Apurimac,3,1,0
14/07/2020,Apurimac,3,6,0
15/07/2020,Apurimac,3,11,0
16/07/2020,Apurimac,3,12,0
17/07/2020,Apurimac,3,13,0
18/07/2020,Apurimac,3,19,0
19/07/2020,Apurimac,3,2,0
20/07/2020,Apurimac,3,11,0
21/07/2020,Apurimac,3,17,0
22/07/2020,Apurimac,3,14,0
23/07/2020,Apurimac,3,14,0
24/07/2020,Apurimac,3,20,0
25/07/2020,Apurimac,3,16,0
26/07/2020,Apurimac,3,11,0
27/07/2020,Apurimac,3,20,0
28/07/2020,Apurimac,3,14,0
29/07/2020,Apurimac,3,25,0
30/07/2020,Apurimac,3,40,0
31/07/2020,Apurimac,3,49,0
1/08/2020,Apurimac,3,22,0
2/08/2020,Apurimac,3,11,0
3/08/2020,Apurimac,3,58,0
4/08/2020,Apurimac,3,43,0
5/08/2020,Apurimac,3,73,0
6/08/2020,Apurimac,3,65,0
7/08/2020,Apurimac,3,49,0
8/08/2020,Apurimac,3,48,0
9/08/2020,Apurimac,3,20,0
10/08/2020,Apurimac,3,91,0
11/08/2020,Apurimac,3,89,0
12/08/2020,Apurimac,3,73,0
13/08/2020,Apurimac,3,61,0
14/08/2020,Apurimac,3,93,0
15/08/2020,Apurimac,3,46,0
16/08/2020,Apurimac,3,11,0
17/08/2020,Apurimac,3,103,0
18/08/2020,Apurimac,3,65,0
19/08/2020,Apurimac,3,58,0
20/08/2020,Apurimac,3,79,0
21/08/2020,Apurimac,3,80,0
22/08/2020,Apurimac,3,84,0
23/08/2020,Apurimac,3,6,0
7/03/2020,Arequipa,4,1,0
11/03/2020,Arequipa,4,1,0
19/03/2020,Arequipa,4,1,0
20/03/2020,Arequipa,4,1,0
22/03/2020,Arequipa,4,3,0
23/03/2020,Arequipa,4,2,0
24/03/2020,Arequipa,4,1,0
25/03/2020,Arequipa,4,5,0
29/03/2020,Arequipa,4,6,0
30/03/2020,Arequipa,4,5,0
31/03/2020,Arequipa,4,4,0
2/04/2020,Arequipa,4,7,0
4/04/2020,Arequipa,4,14,0
5/04/2020,Arequipa,4,9,0
6/04/2020,Arequipa,4,7,0
7/04/2020,Arequipa,4,4,0
8/04/2020,Arequipa,4,5,0
9/04/2020,Arequipa,4,6,0
10/04/2020,Arequipa,4,2,0
11/04/2020,Arequipa,4,12,0
12/04/2020,Arequipa,4,15,0
13/04/2020,Arequipa,4,12,0
14/04/2020,Arequipa,4,13,0
15/04/2020,Arequipa,4,27,0
16/04/2020,Arequipa,4,41,0
17/04/2020,Arequipa,4,12,0
18/04/2020,Arequipa,4,33,0
19/04/2020,Arequipa,4,3,0
20/04/2020,Arequipa,4,28,0
21/04/2020,Arequipa,4,28,0
22/04/2020,Arequipa,4,43,0
23/04/2020,Arequipa,4,56,0
24/04/2020,Arequipa,4,66,0
25/04/2020,Arequipa,4,24,0
26/04/2020,Arequipa,4,4,0
27/04/2020,Arequipa,4,76,0
28/04/2020,Arequipa,4,76,0
29/04/2020,Arequipa,4,111,0
30/04/2020,Arequipa,4,69,0
1/05/2020,Arequipa,4,38,0
2/05/2020,Arequipa,4,31,0
3/05/2020,Arequipa,4,7,0
4/05/2020,Arequipa,4,60,0
5/05/2020,Arequipa,4,57,0
6/05/2020,Arequipa,4,56,0
7/05/2020,Arequipa,4,47,0
8/05/2020,Arequipa,4,39,0
9/05/2020,Arequipa,4,59,0
10/05/2020,Arequipa,4,25,0
11/05/2020,Arequipa,4,51,0
12/05/2020,Arequipa,4,104,0
13/05/2020,Arequipa,4,112,0
14/05/2020,Arequipa,4,121,0
15/05/2020,Arequipa,4,96,0
16/05/2020,Arequipa,4,85,0
17/05/2020,Arequipa,4,8,0
18/05/2020,Arequipa,4,86,0
19/05/2020,Arequipa,4,122,0
20/05/2020,Arequipa,4,156,0
21/05/2020,Arequipa,4,144,0
22/05/2020,Arequipa,4,197,0
23/05/2020,Arequipa,4,146,0
24/05/2020,Arequipa,4,35,0
25/05/2020,Arequipa,4,192,0
26/05/2020,Arequipa,4,128,0
27/05/2020,Arequipa,4,186,0
28/05/2020,Arequipa,4,186,0
29/05/2020,Arequipa,4,172,0
30/05/2020,Arequipa,4,96,0
31/05/2020,Arequipa,4,20,0
1/06/2020,Arequipa,4,61,0
2/06/2020,Arequipa,4,99,0
3/06/2020,Arequipa,4,55,0
4/06/2020,Arequipa,4,51,0
5/06/2020,Arequipa,4,118,0
6/06/2020,Arequipa,4,138,0
7/06/2020,Arequipa,4,34,0
8/06/2020,Arequipa,4,104,0
9/06/2020,Arequipa,4,126,0
10/06/2020,Arequipa,4,144,0
11/06/2020,Arequipa,4,101,0
12/06/2020,Arequipa,4,119,0
13/06/2020,Arequipa,4,174,0
14/06/2020,Arequipa,4,19,0
15/06/2020,Arequipa,4,94,0
16/06/2020,Arequipa,4,90,0
17/06/2020,Arequipa,4,168,0
18/06/2020,Arequipa,4,68,0
19/06/2020,Arequipa,4,114,0
20/06/2020,Arequipa,4,74,0
21/06/2020,Arequipa,4,118,0
22/06/2020,Arequipa,4,114,0
23/06/2020,Arequipa,4,188,0
24/06/2020,Arequipa,4,231,0
25/06/2020,Arequipa,4,152,0
26/06/2020,Arequipa,4,166,0
27/06/2020,Arequipa,4,272,0
28/06/2020,Arequipa,4,58,0
29/06/2020,Arequipa,4,58,0
30/06/2020,Arequipa,4,134,0
1/07/2020,Arequipa,4,186,0
2/07/2020,Arequipa,4,115,0
3/07/2020,Arequipa,4,119,0
4/07/2020,Arequipa,4,210,0
5/07/2020,Arequipa,4,68,0
6/07/2020,Arequipa,4,78,0
7/07/2020,Arequipa,4,175,0
8/07/2020,Arequipa,4,168,0
9/07/2020,Arequipa,4,132,0
10/07/2020,Arequipa,4,333,0
11/07/2020,Arequipa,4,320,0
12/07/2020,Arequipa,4,54,0
13/07/2020,Arequipa,4,112,0
14/07/2020,Arequipa,4,202,0
15/07/2020,Arequipa,4,253,0
16/07/2020,Arequipa,4,208,0
17/07/2020,Arequipa,4,200,0
18/07/2020,Arequipa,4,323,0
19/07/2020,Arequipa,4,70,0
20/07/2020,Arequipa,4,160,0
21/07/2020,Arequipa,4,399,0
22/07/2020,Arequipa,4,523,0
23/07/2020,Arequipa,4,343,0
24/07/2020,Arequipa,4,397,0
25/07/2020,Arequipa,4,452,0
