date,state,fips,cases,deaths
2020-04-10,Piura,PIU,36,0
2020-04-10,Tumbes,TUM,3,0
2020-04-10,Ucayali,UCA,3,0
2020-04-11,Ancash,ANC,25,0
2020-04-11,Apurimac,APU,2,0
2020-04-11,Arequipa,ARE,12,0
2020-04-11,Cajamarca,CAJ,1,0
2020-04-11,Callao,CAL,303,0
2020-04-11,Cusco,CUS,43,0
2020-04-11,Huancavelica,HUA,2,0
2020-04-11,Huanuco,HCO,7,0
2020-04-11,Ica,ICA,20,0
2020-04-11,Junin,JUN,8,0
2020-04-11,La Libertad,LIB,9,0
2020-04-11,Lambayeque,LAM,67,0
2020-04-11,Lima,LIM,742,0
2020-04-11,Lima Region,LRE,24,0
2020-04-11,Loreto,LOR,13,0
2020-04-11,Madre de Dios,MDI,16,0
2020-04-11,Moquegua,MOQ,3,0
2020-04-11,Pasco,PAS,2,0
2020-04-11,Piura,PIU,49,0
2020-04-11,Puno,PUN,1,0
2020-04-11,San Martin,SMA,15,0
2020-04-11,Tumbes,TUM,39,0
2020-04-11,Ucayali,UCA,1,0
2020-04-12,Amazonas,AMA,8,0
2020-04-12,Ancash,ANC,7,0
2020-04-12,Arequipa,ARE,15,0
2020-04-12,Cajamarca,CAJ,1,0
2020-04-12,Callao,CAL,38,0
2020-04-12,Huancavelica,HUA,2,0
2020-04-12,Huanuco,HCO,4,0
2020-04-12,Ica,ICA,3,0
2020-04-12,Junin,JUN,4,0
2020-04-12,La Libertad,LIB,3,0
2020-04-12,Lambayeque,LAM,56,0
2020-04-12,Lima,LIM,509,0
2020-04-12,Lima Region,LRE,8,0
2020-04-12,Loreto,LOR,25,0
2020-04-12,Madre de Dios,MDI,14,0
2020-04-12,Piura,PIU,32,0
2020-04-12,Tumbes,TUM,6,0
2020-04-12,Ucayali,UCA,3,0
2020-04-13,Ancash,ANC,19,0
2020-04-13,Apurimac,APU,7,0
2020-04-13,Arequipa,ARE,12,0
2020-04-13,Ayacucho,AYA,5,0
2020-04-13,Cajamarca,CAJ,4,0
2020-04-13,Callao,CAL,311,0
2020-04-13,Cusco,CUS,1,0
2020-04-13,Huancavelica,HUA,1,0
2020-04-13,Huanuco,HCO,5,0
2020-04-13,Ica,ICA,27,0
2020-04-13,Junin,JUN,9,0
2020-04-13,La Libertad,LIB,23,0
2020-04-13,Lambayeque,LAM,59,0
2020-04-13,Lima,LIM,694,0
2020-04-13,Lima Region,LRE,18,0
2020-04-13,Loreto,LOR,26,0
2020-04-13,Madre de Dios,MDI,5,0
2020-04-13,Moquegua,MOQ,2,0
2020-04-13,Piura,PIU,31,0
2020-04-13,Puno,PUN,1,0
2020-04-13,Tumbes,TUM,13,0
2020-04-13,Ucayali,UCA,11,0
2020-04-14,Amazonas,AMA,8,0
2020-04-14,Ancash,ANC,28,0
2020-04-14,Apurimac,APU,10,0
2020-04-14,Arequipa,ARE,13,0
2020-04-14,Ayacucho,AYA,5,0
2020-04-14,Cajamarca,CAJ,7,0
2020-04-14,Callao,CAL,83,0
2020-04-14,Cusco,CUS,3,0
2020-04-14,Huancavelica,HUA,1,0
2020-04-14,Huanuco,HCO,10,0
2020-04-14,Ica,ICA,6,0
2020-04-14,Junin,JUN,33,0
2020-04-14,La Libertad,LIB,25,0
2020-04-14,Lambayeque,LAM,60,0
2020-04-14,Lima,LIM,606,0
2020-04-14,Lima Region,LRE,8,0
2020-04-14,Loreto,LOR,31,0
2020-04-14,Madre de Dios,MDI,4,0
2020-04-14,Moquegua,MOQ,6,0
2020-04-14,Pasco,PAS,2,0
2020-04-14,Piura,PIU,55,0
2020-04-14,San Martin,SMA,6,0
2020-04-14,Tumbes,TUM,22,0
2020-04-14,Ucayali,UCA,6,0
2020-04-15,Amazonas,AMA,11,0
2020-04-15,Ancash,ANC,42,0
2020-04-15,Apurimac,APU,4,0
